Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Income in the past 12 months below poverty level:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Bachelor's degree or higher,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Bachelor's degree or higher,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Bachelor's degree or higher,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Bachelor's degree or higher,
Alabama,3409536,6006,455033,14791,178071,8682,53595,4185,69328,5303,36528,3554,18620,2529,276962,9317,57789,4346,106286,5900,83502,4639,29385,3456,2954503,15183,1426810,9341,142697,6001,437306,11358,410423,9839,436384,9374,1527693,10282,116149,5832,413346,10708,484546,10627,513652,10389,
Alaska,480534,1748,46111,3774,22027,2419,3229,969,9137,1543,7048,1366,2613,724,24084,2508,3978,1137,9541,1457,7902,1320,2663,809,434423,4011,228797,2679,13545,1932,69352,3846,78027,3479,67873,3959,205626,2845,11451,1738,48981,3745,69500,3518,75694,3683,
Arizona,4976503,3182,534391,15291,233081,8409,57595,4822,78475,4860,62088,4598,34923,3251,301310,10225,72974,5911,89270,5601,91750,7221,47316,3701,4442112,15492,2205010,8849,209293,7903,513686,12042,706685,16110,775346,12457,2237102,10544,194034,7796,492999,12631,750905,12842,799164,12863,
Arkansas,2012231,5056,287148,11907,114713,6335,25897,3276,49941,4355,27079,2676,11796,2113,172435,7628,34247,3148,71409,4987,52617,4581,14162,1983,1725083,13107,849900,7892,87307,5093,300838,9952,241741,7518,220014,8382,875183,8187,68720,3700,258538,7670,276001,7940,271924,7839,
California,26556589,7274,2814990,40161,1222848,22102,356833,10835,333996,10945,304037,9807,227982,8060,1592142,24390,465111,11512,419888,13513,432049,14724,275094,9294,23741599,40731,11862446,22344,1681831,23155,2467696,29272,3164509,29272,4548410,30059,11879153,25366,1523246,21077,2189440,25364,3327324,25798,4839143,30963,
Colorado,4032252,4511,315638,11417,137854,6108,25305,3466,39182,3426,40328,3687,33039,3363,177784,7903,31554,4197,50206,4320,56443,4287,39581,3530,3716614,12218,1883002,7609,116068,5997,388051,11422,497445,11895,881438,11781,1833612,7897,100515,5786,320348,8102,496433,10476,916316,12726,
Connecticut,2510469,2621,214927,9435,83511,6018,21656,3545,33257,3874,12961,1936,15637,2568,131416,6277,27970,3635,46056,4282,32976,3466,24414,2867,2295542,9470,1125534,6307,86623,6286,308163,9567,257204,7568,473544,8571,1170008,6764,71543,4999,256631,7266,294175,9301,547659,9973,
Delaware,714954,936,57974,4788,24605,2623,6291,1544,9873,1835,3431,815,5010,1543,33369,3369,6103,1377,11191,2011,10624,1880,5451,1511,656980,4923,315009,2758,25558,2580,92113,4243,79790,5219,117548,5213,341971,3431,18003,1798,87705,5058,101815,5219,134448,5334,
District of Columbia,474230,638,52350,4797,23274,3178,4781,1255,6934,1865,3851,1109,7708,1508,29076,3010,5969,1723,8762,1801,7730,1902,6615,1388,421880,4871,200025,3269,8305,1877,21655,2884,26135,3395,143930,4790,221855,3023,9978,2163,25433,2870,32186,3138,154258,3314,
Florida,15859418,6672,1748889,29269,731427,16048,174723,8471,255161,7851,163039,9189,138504,6811,1017462,18136,210074,10562,346011,11557,283105,10201,178272,8142,14110529,30032,6920730,17180,622538,16199,1865485,25352,1951334,24922,2481373,23524,7189799,18054,546047,14305,1796258,22964,2151339,22322,2696155,24821,
Georgia,7204139,9492,752879,21434,286127,10961,72176,5642,108144,5958,61314,4890,44493,4469,466752,13969,105824,6691,161226,7207,131020,7398,68682,5530,6451260,23032,3112957,12613,304628,10594,859088,18459,836138,15748,1113103,14884,3338303,14630,257998,9627,790324,16332,984469,14056,1305512,18574,
Hawaii,1010351,1955,91512,5525,40546,3495,5627,1402,16529,2172,10740,1624,7650,1364,50966,3344,7377,1272,17462,2187,16814,2077,9313,1334,918839,6235,456560,3982,29185,2770,122347,5523,145245,5644,159783,4989,462279,3787,29550,2785,110948,5192,137962,5301,183819,4382,
Idaho,1258236,3671,113069,6148,48865,3787,8930,1767,17426,2205,13334,1687,9175,1799,64204,3941,10996,1748,21220,2715,21424,2012,10564,2249,1145167,6940,576813,4349,44181,3229,151625,5386,190106,6098,190901,5879,568354,4612,34192,2662,135161,5495,199187,5515,199814,6315,
Illinois,8552172,4604,859813,18539,354923,10015,79371,5258,124383,5732,88512,4806,62657,4877,504890,13181,93984,5818,173376,7130,154168,8567,83362,5159,7692359,19231,3793890,10435,338872,10190,957212,14952,1022808,16796,1474998,17220,3898469,13360,286003,9203,870049,16555,1101122,16520,1641295,16856,
Indiana,4498113,5269,463653,14264,185492,7614,46981,4021,74315,4821,43352,3637,20844,2686,278161,9513,56602,4924,110173,5741,81472,5308,29914,3425,4034460,15023,1995875,8759,179029,6519,645342,13231,555987,12109,615517,10158,2038585,9959,149922,6045,597516,10708,608190,11573,682957,10838,
Iowa,2118274,3697,188196,6681,81872,4311,16382,2270,31524,2825,21240,2444,12726,2081,106324,4340,16229,1631,42048,2450,33573,2631,14474,1952,1930078,7491,967925,5029,58681,3408,303432,7261,296281,7046,309531,7266,962153,5073,45250,3291,240056,6255,323595,7249,353252,7863,
Kansas,1905112,4059,185249,9161,81461,5534,17982,2851,31439,2730,18800,2214,13240,2056,103788,5271,18007,2584,35415,3186,35083,3099,15283,1992,1719863,9669,853776,5703,59962,3409,213666,5880,267923,7166,312225,6968,866087,6265,51691,3402,191664,6851,274964,6585,347768,7816,
Kentucky,3026631,4411,428250,13285,176984,7843,52603,4138,69608,4791,36923,3219,17850,2258,251266,8850,55613,3882,103977,5977,69074,4783,22602,2720,2598381,14944,1287311,9218,119011,5686,438877,9670,351197,9655,378226,8336,1311070,9163,96115,5017,361579,9459,415592,9561,437784,8604,
Louisiana,3023268,6653,470788,13606,181469,7604,55134,4780,70872,4508,36127,3365,19336,2484,289319,9852,68438,4634,110075,6648,79274,5096,31532,3759,2552480,15449,1242711,8986,141883,7250,408281,10867,349505,10187,343042,10571,1309769,9912,104518,5701,382306,11031,380782,9987,442163,9956,
Maine,1015426,2375,101073,5474,42658,3281,7122,1440,18733,2016,11311,1759,5492,1262,58415,3774,7949,1640,25172,2627,15479,1600,9815,1522,914353,6027,451304,3888,24344,2559,139715,5492,126875,5095,160370,5717,463049,3986,12812,1545,120465,5367,135402,5200,194370,5478,
Maryland,4230466,3387,361774,12598,143533,6947,32780,3079,50166,4155,31826,4089,28761,3689,218241,8845,44126,3866,75244,5684,57603,4707,41268,4080,3868692,13405,1866060,7771,151125,6880,443099,12097,435640,10793,836196,11612,2002632,9383,128712,6519,416981,10869,492165,11953,964774,13941,
Massachusetts,4891730,3017,456610,13971,189630,8192,47883,4619,64587,4784,38763,3806,38397,4018,266980,9307,59497,3805,86255,6124,63988,4297,57240,4267,4435120,14545,2167691,8535,166956,8377,510141,13333,443671,10367,1046923,13199,2267429,9833,143265,6700,450907,10863,519216,11100,1154041,14069,
Michigan,6883704,4420,765566,17426,319397,9703,69203,4836,127165,6719,86159,4522,36870,3023,446169,11898,80277,4753,161464,6585,152493,7894,51935,3617,6118138,17753,3032357,10038,219832,6877,845745,11677,944610,14952,1022170,12202,3085781,12804,183007,7057,781159,11699,1002287,15096,1119328,13895,
Minnesota,3864406,4408,314222,10159,138344,6008,24314,2554,55681,3769,37291,2875,21058,2151,175878,7143,33839,3810,58458,3782,56554,3306,27027,2812,3550184,11100,1783687,7186,93148,4713,426190,7936,563030,9386,701319,9539,1766497,7439,77673,4663,347006,7763,564919,9406,776899,10585,
Mississippi,1914533,4796,307933,10511,121750,6123,36414,3782,47557,4025,28372,3143,9407,1902,186183,7081,39738,3432,71216,4807,58185,4946,17044,2368,1606600,10970,773548,7185,88758,4579,254158,7557,240465,6784,190167,6671,833052,7437,64403,4194,210319,7666,292641,8187,265689,8532,
Missouri,4158990,5176,463259,12944,193978,7993,43041,3645,80387,4584,43420,3640,27130,2755,269281,8734,49236,3785,107735,6452,79280,4176,33030,3321,3695731,13155,1810930,8607,134048,5485,558708,11028,519172,11061,599002,10742,1884801,9115,113938,5328,491541,10381,581584,12236,697738,12743,
Montana,773331,2878,81204,5460,36471,2837,6327,1194,13223,1381,11141,1887,5780,980,44733,3580,7761,1543,16554,2155,13370,1885,7048,1241,692127,6651,349187,4317,19185,2314,99022,3978,107415,3935,123565,4479,342940,3792,11751,1591,81647,4697,115035,4579,134507,3970,
Nebraska,1281241,3268,116270,6437,46700,3150,7839,1456,19850,2511,11338,1430,7673,1319,69570,4465,9487,1746,23505,2637,26618,3006,9960,1645,1164971,7385,584981,4341,41254,3045,146128,4851,194554,5511,203045,5646,579990,4789,31596,2788,128413,4777,192534,4887,227447,6102,
Nevada,2202370,2568,245584,12156,103073,6827,20976,2556,35873,4769,30460,3195,15764,2245,142511,7534,29590,3373,46972,4226,42667,4401,23282,2920,1956786,11858,992464,6729,120700,5727,280700,8385,320193,10660,270871,9214,964322,7740,103490,5936,246910,8882,324523,8052,289399,8830,
New Hampshire,1010517,1928,70395,4317,28350,2550,5506,1200,11946,1735,6230,1136,4668,1074,42045,3195,3775,1232,17909,2325,13323,1790,7038,1404,940122,4658,472357,2648,24976,2685,128930,5170,119029,4538,199422,5710,467765,3645,18496,2548,113844,6075,126374,5034,209051,5978,
New Jersey,6405386,3977,547392,17111,219815,10332,52225,5100,81767,5169,46725,4329,39098,3029,327577,10433,73063,5739,123790,5853,72009,4617,58715,4532,5857994,17089,2876073,10779,243157,9637,701617,13124,627741,12796,1303558,15046,2981921,10831,218141,7462,689601,14000,666061,13959,1408118,15162,
New Mexico,1432507,5796,214099,8498,89530,5325,22264,2134,30296,2855,25997,3354,10973,1944,124569,6064,28832,3188,37913,4429,42810,3986,15014,2236,1218408,9872,604801,6609,64443,5055,161709,6908,192325,7586,186324,6274,613607,7108,52068,4133,137623,6132,195525,6683,228391,6876,
New York,13722357,5001,1699412,32913,710860,17700,200787,9050,245949,10646,144414,8199,119710,6844,988552,21740,265298,11606,323916,11725,226396,8276,172942,7178,12022945,33601,5869952,17326,605373,14090,1431994,23276,1401960,17596,2430625,20132,6152993,22135,550891,12959,1345974,18980,1446742,21507,2809386,24235,
North Carolina,7266200,8958,770841,21186,307099,11694,88716,5465,106700,6710,67919,4647,43764,4425,463742,13939,96485,5788,159637,8024,134251,7635,73369,4522,6495359,21636,3147297,12275,286030,10341,807108,16028,896148,15285,1158011,16570,3348062,15096,226035,9218,718145,14502,1040759,14556,1363123,17773,
North Dakota,505023,2706,44608,3523,19080,2327,2033,665,7778,1354,7257,1685,2012,722,25528,2313,3380,767,9670,1370,9530,1507,2948,848,460415,4478,237392,3142,13839,1816,61326,3621,92127,4115,70100,3325,223023,3083,9965,1718,48898,3095,76640,4834,87520,3966,
Ohio,7985175,5647,887165,19289,357819,10818,81938,5848,150527,6942,76597,4822,48757,3820,529346,12818,101128,6340,209631,8435,158896,7374,59691,4430,7098010,21456,3512387,12295,252252,9075,1143440,16760,961115,14103,1155580,15187,3585623,13699,207070,7979,1025688,14038,1032033,14680,1320832,13655,
Oklahoma,2598785,4042,339298,7537,145403,4588,33684,3123,55325,3083,39028,2569,17366,1971,193895,5299,42290,3079,72190,3247,59156,3335,20259,2073,2259487,8103,1114318,5568,103700,3932,345637,5169,326763,7331,338218,6459,1145169,5194,85268,4088,310929,6843,370336,6644,378636,8446,
