Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Income in the past 12 months below poverty level:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!Bachelor's degree or higher,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:,"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:!!Less than high school graduate","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:!!Less than high school graduate","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:!!High school graduate (includes equivalency)","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:!!Some college, associate's degree","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:!!Bachelor's degree or higher","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present:!!Bachelor's degree or higher","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!Less than high school graduate","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!Less than high school graduate","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!High school graduate (includes equivalency)","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!Some college, associate's degree","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!Bachelor's degree or higher","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!Bachelor's degree or higher",Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!Bachelor's degree or higher,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:!!Less than high school graduate","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:!!Less than high school graduate","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:!!High school graduate (includes equivalency)","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:!!Some college, associate's degree","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:!!Bachelor's degree or higher","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present:!!Bachelor's degree or higher","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!Less than high school graduate","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!Less than high school graduate","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!High school graduate (includes equivalency)","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!Some college, associate's degree","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!Bachelor's degree or higher","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!Bachelor's degree or higher",
Alabama,1308988,13948,156434,6812,50684,4042,10739,1769,18735,2459,12922,2023,8288,1815,105750,6252,17666,2929,4013,1025,7178,1745,4785,1536,1690,1040,88084,5058,12961,1888,35613,3635,33018,3172,6492,1538,1152554,13585,890912,13584,51464,4032,205631,8561,274965,9200,358852,9302,261642,9100,72862,4657,11685,1979,21593,2559,23009,3155,16575,2335,188780,7720,18412,2311,57980,4058,69997,4794,42391,3636,
Alaska,175789,4082,12783,1789,5044,967,594,376,1622,584,2104,676,724,339,7739,1573,2163,603,585,416,954,470,423,250,201,163,5576,1435,805,434,2650,1019,1859,769,262,170,163006,4442,124467,4070,5148,998,25198,2648,45585,3285,48536,3168,38539,3156,15277,1843,1108,380,6486,1300,5514,1090,2169,980,23262,2507,1134,367,6740,1392,9255,1457,6133,1477,
Arizona,1843530,15179,163520,7584,74181,4648,19975,2631,21398,2587,20821,2763,11987,1861,89339,6021,18806,3065,4582,1483,6792,1933,5341,1652,2091,832,70533,4386,19365,3238,20898,2726,22852,2883,7418,1396,1680010,16388,1258089,14682,93089,5952,215578,8842,416022,10584,533400,11830,421921,12100,155252,8647,20158,2822,38613,4798,58660,5380,37821,3763,266669,9982,29801,3580,65116,4091,101171,5550,70581,4998,
Arkansas,777933,11579,92156,5719,37793,2924,7099,1435,13292,2053,12504,1676,4898,1210,54363,4322,9352,1612,2137,769,4052,971,2970,1107,193,162,45011,4098,8045,1585,17621,2644,16631,2848,2714,943,685777,11146,534803,10407,37304,3315,149448,5991,163557,7094,184494,6428,150974,7225,48295,4012,5523,1356,21471,2669,13752,2458,7549,1662,102679,5910,10778,2196,32768,3312,33437,3243,25696,3403,
California,9150804,33105,791385,18310,341856,11876,109042,6522,81491,5701,80934,5671,70389,4304,449529,14378,98289,6473,32530,3192,25992,3067,27632,3521,12135,1877,351240,13098,99587,5681,99377,6962,109510,7283,42766,4250,8359419,35067,6174259,34293,698134,14506,920701,17465,1643232,22822,2912192,22767,2185160,28529,772107,15411,133632,6221,203124,8420,238419,10679,196932,8052,1413053,23511,206104,7851,293725,11024,491902,11900,421322,12229,
Colorado,1464182,10863,84877,5544,38406,3724,6648,1690,10715,1960,12188,2244,8855,1532,46471,4148,8226,1802,1788,925,1767,782,2971,1163,1700,938,38245,3832,7868,2209,10016,2120,15917,2141,4444,1124,1379305,9676,1106040,10288,49440,4283,163853,6776,278575,8526,614172,10069,273265,8554,101633,5498,7681,1881,28670,3362,30713,3791,34569,3263,171632,7112,13882,2291,34988,3147,63082,4460,59680,3821,
Connecticut,902539,10832,58372,4775,19451,2843,3740,1234,7057,1694,3024,958,5630,1379,38921,3990,5287,1529,1666,955,2276,1129,621,501,724,454,33634,3662,7632,2029,11207,2697,10433,2015,4362,1091,844167,11097,639449,11205,30109,3770,117076,5291,144037,6923,348227,8625,204718,7805,65375,5149,8930,2391,22223,3573,17561,2449,16661,2271,139343,6622,10534,1935,32924,3264,47909,4983,47976,3892,
Delaware,263885,5988,17172,2523,6794,1497,1161,528,2337,870,1596,875,1700,630,10378,2233,2113,957,1064,792,682,473,204,270,163,200,8265,2005,1792,686,2214,862,3356,1167,903,808,246713,6075,190429,5758,8834,1734,38680,3232,53651,4187,89264,4043,56284,3845,17255,2254,1918,870,5743,1442,5756,1385,3838,1129,39029,3242,2383,946,12097,2173,13249,2197,11300,1636,
District of Columbia,123868,6183,10725,2523,2279,944,830,636,141,143,907,651,401,352,8446,2386,401,426,0,238,401,426,0,238,0,238,8045,2247,1553,1112,3757,1403,2076,1363,659,471,113143,5397,75271,4374,1607,765,4123,1181,8313,1866,61228,3945,37872,3645,7199,1804,613,560,1544,844,742,561,4300,1733,30673,3308,2690,881,8142,1785,9308,2402,10533,1915,
Florida,5684399,26016,513201,12852,226879,8342,41688,3961,67922,5016,64449,4348,52820,4384,286322,12002,58572,5961,14136,2755,21908,3007,14974,3336,7554,1816,227750,10177,41960,4663,81276,5826,75355,6141,29159,3070,5171198,27187,3892759,28496,219461,8436,771838,15249,1161959,18510,1739501,20005,1278439,20641,401868,14376,55499,4849,119390,7986,124461,7141,102518,5860,876571,17181,76490,5516,236036,9775,304473,11795,259572,9308,
Georgia,2733234,19775,255593,10719,87638,5574,20218,2589,27642,3164,22676,2391,17102,2664,167955,7794,25261,3581,5834,1529,9302,2198,7518,1752,2607,1107,142694,6784,28630,2801,50625,4786,47987,4706,15452,2644,2477641,21054,1829833,20310,115501,6155,372891,11187,505630,11557,835811,15566,647808,13387,174742,8816,28037,3189,61239,5542,47239,4005,38227,3869,473066,11695,39664,3891,119465,5469,171053,8882,142884,7661,
Hawaii,335052,5901,22120,2319,9504,1658,1440,759,2699,872,2693,857,2672,705,12616,1715,2703,796,263,200,799,395,898,483,743,497,9913,1565,1574,651,2532,572,4149,1143,1658,750,312932,6160,231223,5379,9559,1510,42073,2548,75162,3836,104429,4295,81709,4201,24573,2216,2798,899,6419,1220,7937,1238,7419,1300,57136,3491,2748,836,16174,2180,19581,2569,18633,1875,
Idaho,491073,7254,33282,3002,17376,2209,2508,830,4502,1012,6777,1440,3589,1069,15906,2042,2748,794,671,432,949,413,860,513,268,176,13158,1872,2331,908,3897,1062,4609,1051,2321,787,457791,7039,378996,7198,19243,2055,74955,3921,128509,5673,156289,5803,78795,4381,29771,3077,3092,1049,9821,1934,11633,2482,5225,1162,49024,3206,3407,939,12578,1871,19656,2048,13383,1811,
Illinois,3137923,19933,261687,9837,88692,4906,19173,2704,25436,2218,23759,2824,20324,2424,172995,8800,29435,3663,6334,1877,11566,2277,9239,1609,2296,896,143560,7690,22773,2993,51407,5031,53865,4091,15515,2732,2876236,20152,2193805,19166,141798,6435,418600,11187,585494,12315,1047913,15112,682431,14112,217707,8448,27212,3466,70206,4995,66155,5288,54134,4315,464724,11683,44394,4160,116749,6031,167482,8507,136099,7069,
Indiana,1740106,15718,153401,8024,53100,4086,10961,1809,18981,2678,14091,1771,9067,1993,100301,7309,18936,2947,5063,1465,9577,2074,3383,1116,913,404,81365,6775,13936,2691,30755,4680,32071,3793,4603,1314,1586705,15781,1254813,15310,78580,5001,312950,8907,372003,8487,491280,10392,331892,9568,113648,5840,13702,2437,44369,3831,34281,2961,21296,2034,218244,8136,17609,2187,62111,4721,82504,4968,56020,3996,
Iowa,821960,8203,55554,3709,19254,1862,3119,878,6433,1101,6312,1245,3390,792,36300,3316,9248,1932,2153,1111,2704,873,3152,1019,1239,788,27052,2789,4426,1272,9089,1734,11166,1703,2371,785,766406,8658,627505,8213,25641,2658,144183,4789,202214,5710,255467,6909,138901,5902,50714,3734,4128,956,18406,2201,17418,2222,10762,1686,88187,4754,7040,1505,23595,2213,33640,2804,23912,2434,
