state,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Less than high school graduate,Margin of Error!!Total!!Less than high school graduate,Estimate!!Total!!High school graduate (includes equivalency),Margin of Error!!Total!!High school graduate (includes equivalency),Estimate!!Total!!Some college or associate's degree,Margin of Error!!Total!!Some college or associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Graduate or professional degree,Margin of Error!!Total!!Graduate or professional degree,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!Less than high school graduate,Margin of Error!!Total!!Male!!Less than high school graduate,Estimate!!Total!!Male!!High school graduate (includes equivalency),Margin of Error!!Total!!Male!!High school graduate (includes equivalency),Estimate!!Total!!Male!!Some college or associate's degree,Margin of Error!!Total!!Male!!Some college or associate's degree,Estimate!!Total!!Male!!Bachelor's degree,Margin of Error!!Total!!Male!!Bachelor's degree,Estimate!!Total!!Male!!Graduate or professional degree,Margin of Error!!Total!!Male!!Graduate or professional degree,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!Less than high school graduate,Margin of Error!!Total!!Female!!Less than high school graduate,Estimate!!Total!!Female!!High school graduate (includes equivalency),Margin of Error!!Total!!Female!!High school graduate (includes equivalency),Estimate!!Total!!Female!!Some college or associate's degree,Margin of Error!!Total!!Female!!Some college or associate's degree,Estimate!!Total!!Female!!Bachelor's degree,Margin of Error!!Total!!Female!!Bachelor's degree,Estimate!!Total!!Female!!Graduate or professional degree,Margin of Error!!Total!!Female!!Graduate or professional degree,Unnamed: 37
ALABAMA,33888,933,20524,831,27144,461,31547,422,48304,1367,57307,2047,41300,431,24248,1379,32314,730,41354,684,62244,2551,78381,4419,27485,543,15561,1186,21249,493,25835,483,40235,712,50932,566,
ALASKA,43493,1757,27147,6451,32063,1360,41663,1404,51665,2080,75950,5467,51041,860,40247,9716,37298,2674,51608,2017,62614,5468,87728,6606,35727,843,19508,3616,26350,1770,32088,1292,45672,2298,67823,3337,
ARIZONA,35919,273,21300,436,27708,1038,34251,869,50479,470,62034,1128,40935,293,23800,1003,31501,506,40626,459,60656,863,78600,3561,31166,336,16957,565,24000,920,29896,852,41479,581,50815,869,
ARKANSAS,31687,266,22442,1009,26629,485,30419,583,45963,1007,56296,1528,36955,555,25970,669,31222,550,37055,1333,57465,3887,70813,4584,26908,437,17073,1431,21770,509,24837,885,40284,1007,50713,967,
CALIFORNIA,40005,205,21558,133,30231,163,36985,202,60121,376,82271,392,44942,522,25541,233,33677,960,42923,1055,71138,422,100984,320,32866,496,16542,177,23934,394,31451,216,50241,280,70763,469,
COLORADO,40893,229,25649,719,31515,332,36440,366,51136,472,65657,1085,46979,516,30551,921,36370,656,41856,493,61754,970,83031,2523,34561,841,18493,1405,25539,834,30658,511,41535,535,52422,1833,
CONNECTICUT,47481,717,23388,1740,35458,586,41504,629,61257,741,80306,1225,56059,943,26684,1365,41255,715,51478,794,75424,1768,100290,2058,39708,993,18862,1561,28827,1571,33633,1979,50499,772,66176,1509,
DELAWARE,40032,1022,26171,1687,31751,730,36993,1052,54225,4473,71356,2536,44735,3057,30328,1651,38196,1909,42882,3310,63177,5655,77815,7436,35110,1367,21073,1839,25730,1717,32057,1770,47586,5289,67053,4413,
DISTRICT OF COLUMBIA,60200,2488,22167,3308,30311,1933,35313,2842,65886,2321,89436,3272,65574,2363,28220,7697,31629,3562,37627,6261,77132,5772,96341,5252,52047,2003,21203,1485,27248,2476,34067,3567,56371,5392,78086,5514,
FLORIDA,32100,129,20825,262,26129,208,31670,183,45031,678,59576,2054,36558,240,23238,703,30382,264,36275,397,52227,420,76636,1647,29473,406,16726,475,21795,216,28610,623,40336,307,50382,451,
